"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/eno-orange-flavor-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108644&q=best&v=1&m=400&webp=1","75","Eno Orange Flavor","5 pcs","1 hr"
"https://chaldn.com/_mpimage/eno-digestive-lemon-flavour-30-pcs-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124278&q=best&v=1&m=400&webp=1","450","Eno Digestive Lemon Flavour 30 pcs","150 gm","1 hr"
"https://chaldn.com/_mpimage/eno-digestive-orange-flavour-30-pcs-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124279&q=best&v=1&m=400&webp=1","450","Eno Digestive Orange Flavour 30 pcs","150 gm","Next Day"
"https://chaldn.com/_mpimage/hajmola-imli-90-tablets-68-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86100&q=best&v=1&m=400&webp=1","110","Hajmola Imli 90 Tablets","68 gm","1 hr"
"https://chaldn.com/_mpimage/hajmola-borhani-100-tablets-74-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86099&q=best&v=1&m=400&webp=1","110","Hajmola Borhani 100 Tablets","74 gm","1 hr"
"https://chaldn.com/_mpimage/nutri-ener-g-fortified-tasty-saline-lemon-flavored-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135410&q=best&v=1&m=400&webp=1","140","Nutri+ Ener-G Fortified Tasty Saline Lemon Flavored","20 pcs","1 hr"
"https://chaldn.com/_mpimage/hajmola-regular-90-tablets-68-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D86101&q=best&v=1&m=400&webp=1","110","Hajmola Regular 90 Tablets","68 gm","1 hr"
"https://chaldn.com/_mpimage/dabur-chyawanprash-awaleha-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D158180&q=best&v=1&m=400&m=400&webp=1","600","Dabur Chyawanprash Awaleha","500 gm","1 hr"
"https://chaldn.com/_mpimage/chirota-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D126685&q=best&v=1&m=400&m=400&webp=1","35","Chirota","25 gm","1 hr"
"https://chaldn.com/_mpimage/sajeeb-pure-psyllium-husk-isubgul-vushi-75-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138686&q=best&v=1&m=400&webp=1","175","Sajeeb Pure Psyllium Husk (Isubgul Vushi)","75 gm","1 hr"
"https://chaldn.com/_mpimage/psyllium-husk-isubgul-vushi-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D180793&q=best&v=1&m=400&webp=1","189","Psyllium Husk (Isubgul Vushi)","100 gm","1 hr"
"https://chaldn.com/_mpimage/sagudana-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47075&q=best&v=1&m=400&webp=1","45","Sagudana","200 gm","1 hr"
"https://chaldn.com/_mpimage/farina-natural-psyllium-husk-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185294&q=best&v=1&m=400&webp=1","200","Farina Natural Psyllium Husk","80 gm","1 hr"
"https://chaldn.com/_mpimage/farina-natural-psyllium-husk-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185293&q=best&v=1&m=400&webp=1","115","Farina Natural Psyllium Husk","45 gm","1 hr"