imageWrapperWrapper src,productV2discountedPrice,price,nameTextWithEllipsis
https://chaldn.com/_mpimage/fabric-lagbe-aplic-cushion-cover-acc-06-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141984&q=best&v=1&m=400&webp=1,234,275,Fabric Lagbe Aplic Cushion Cover (ACC-06)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-l-s-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176763&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt L (S-4)
https://chaldn.com/_mpimage/raincoat-black-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115603&q=best&v=1&m=400&webp=1,,669,Raincoat (Black)
https://chaldn.com/_mpimage/lt3-livingtex-mens-boxer-xl-3-pcs-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93280&q=best&v=1&m=400&m=400&webp=1,,490,LT3 Livingtex Men's Boxer XL 3 pcs
https://chaldn.com/_mpimage/fabric-lagbe-lungi-aram-a-8-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176710&q=best&v=1&m=400&webp=1,425,500,Fabric Lagbe Lungi Aram (A-8)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-6-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176707&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-6)
https://chaldn.com/_mpimage/fabric-lagbe-aplic-cushion-cover-acc-02-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130360&q=best&v=1&m=400&webp=1,272,320,Fabric Lagbe Aplic Cushion Cover (ACC-02)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-3-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176704&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-3)
https://chaldn.com/_mpimage/lt2-livingtex-mens-boxer-l-3-pcs-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93276&q=best&v=1&m=400&webp=1,,650,LT2 Livingtex Men's Boxer L 3 pcs
https://chaldn.com/_mpimage/fabric-lagbe-gents-panjabi-s-gp-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176776&q=best&v=1&m=400&webp=1,731,860,Fabric Lagbe Gents Panjabi S (GP-1)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-2-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176703&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-2)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-5-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176706&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-5)
https://chaldn.com/_mpimage/lt1-livingtex-mens-boxer-m-3-pcs-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93263&q=best&v=1&m=400&webp=1,,650,LT1 Livingtex Men's Boxer M 3 pcs
https://chaldn.com/_mpimage/fabric-lagbe-cotton-lungi-sl-03-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141985&q=best&v=1&m=400&webp=1,756,890,Fabric Lagbe Cotton Lungi (Sl-03)
https://chaldn.com/_mpimage/bangladesh-national-cricket-team-jersey-l-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125380&q=best&v=1&m=400&webp=1,,799,Bangladesh National Cricket Team Jersey (L)
https://chaldn.com/_mpimage/fabric-lagbe-kurush-cushion-cover-kcc-02-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130353&q=best&v=1&m=400&webp=1,,645,Fabric Lagbe Kurush Cushion Cover (KCC-02)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-7-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176721&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-7)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-l-s-3-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176743&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt L (S-3)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-aram-a-7-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176709&q=best&v=1&m=400&webp=1,425,500,Fabric Lagbe Lungi Aram (A-7)
https://chaldn.com/_mpimage/fabric-lagbe-kurush-cushion-cover-kcc-03-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130354&q=best&v=1&m=400&webp=1,549,645,Fabric Lagbe Kurush Cushion Cover (KCC-03)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176701&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-1)
https://chaldn.com/_mpimage/fabric-lagbe-gents-panjabi-m-gp-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176778&q=best&v=1&m=400&webp=1,731,860,Fabric Lagbe Gents Panjabi M (GP-1)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-aram-a-9-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176722&q=best&v=1&m=400&webp=1,425,500,Fabric Lagbe Lungi Aram (A-9)
https://chaldn.com/_mpimage/fabric-lagbe-aplic-cushion-cover-acc-04-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141982&q=best&v=1&m=400&webp=1,234,275,Fabric Lagbe Aplic Cushion Cover (ACC-04)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-aram-a-6-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176708&q=best&v=1&m=400&webp=1,425,500,Fabric Lagbe Lungi Aram (A-6)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-tangai-t-5-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176711&q=best&v=1&m=400&webp=1,553,650,Fabric Lagbe Lungi Tangai (T-5)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-tangai-t-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176726&q=best&v=1&m=400&webp=1,553,650,Fabric Lagbe Lungi Tangai (T-4)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-mokka-m-2-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176686&q=best&v=1&m=400&webp=1,808,950,Fabric Lagbe Lungi Mokka (M-2)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-l-s-5-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176773&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt L (S-5)
https://chaldn.com/_mpimage/fabric-lagbe-aplic-cushion-cover-acc-05-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D141983&q=best&v=1&m=400&webp=1,,315,Fabric Lagbe Aplic Cushion Cover (ACC-05)
https://chaldn.com/_mpimage/savlon-travel-pouch-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174551&q=best&v=1&m=400&webp=1,399,450,Savlon Travel Pouch
https://chaldn.com/_mpimage/fabric-lagbe-lungi-furti-f-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176705&q=best&v=1&m=400&webp=1,400,470,Fabric Lagbe Lungi Furti (F-4)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-m-s-5-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176772&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt M (S-5)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-tangai-t-6-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176712&q=best&v=1&m=400&webp=1,553,650,Fabric Lagbe Lungi Tangai (T-6)
https://chaldn.com/_mpimage/fabric-lagbe-ladies-panjabi-lp-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176779&q=best&v=1&m=400&webp=1,757,890,Fabric Lagbe Ladies Panjabi (LP-1)
https://chaldn.com/_mpimage/nomad-ladies-bag-blue-pro-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111809&q=best&v=1&m=400&webp=1,,1850,Nomad Ladies Bag Blue (Pro)
https://chaldn.com/_mpimage/fabric-lagbe-cotton-lungi-jl-01-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130459&q=best&v=1&m=400&webp=1,,850,Fabric Lagbe Cotton Lungi (JL-01)
https://chaldn.com/_mpimage/moon-umbrella-blue-color-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D78961&q=best&v=1&m=400&m=400&webp=1,,550,Moon Umbrella Blue Color
https://chaldn.com/_mpimage/shankar-umbrella-with-box-black-colour-10-spoke-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D178862&q=best&v=1&m=400&webp=1,449,700,Shankar Umbrella With Box Black Colour (10 Spoke)
https://chaldn.com/_mpimage/fabric-lagbe-ehram-er-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176801&q=best&v=1&m=400&webp=1,914,1075,Fabric Lagbe Ehram (Er-1)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-m-s-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176765&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt M (S-1)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-m-s-3-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176749&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt M (S-3)
https://chaldn.com/_mpimage/fabric-lagbe-lungi-tangai-t-7-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176713&q=best&v=1&m=400&webp=1,553,650,Fabric Lagbe Lungi Tangai (T-7)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-s-s-2-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176769&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt S (S-2)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-l-s-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176766&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt L (S-1)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-s-s-1-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176764&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt S (S-1)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-m-s-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176761&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt M (S-4)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-s-s-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176760&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt S (S-4)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-s-s-3-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176750&q=best&v=1&m=400&webp=1,,930,Fabric Lagbe Shirt S (S-3)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-xl-s-2-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176752&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt XL (S-2)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-l-s-2-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176753&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt L (S-2)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-xl-s-3-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176748&q=best&v=1&m=400&webp=1,790,930,Fabric Lagbe Shirt XL (S-3)
https://chaldn.com/_mpimage/fabric-lagbe-shirt-xl-s-4-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D176737&q=best&v=1&m=400&webp=1,,930,Fabric Lagbe Shirt XL (S-4)
https://chaldn.com/_mpimage/fabric-lagbe-kurush-cushion-cover-kcc-01-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130363&q=best&v=1&m=400&webp=1,638,750,Fabric Lagbe Kurush Cushion Cover (KCC-01)
