"imageWrapperWrapper src","productV2discountedPrice","currency 2","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/lifree-extra-absorb-adult-diaper-pant-l-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D97219&q=best&v=1&m=400&webp=1","749","৳","1130","Lifree Extra Absorb Adult Diaper Pant L","10 pcs"
"https://chaldn.com/_mpimage/smartcare-adult-diaper-l-100-145-cm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133742&q=best&v=1&m=400&webp=1","849","৳","970","SmartCare Adult Diaper L 100-145 cm","10 pcs"
"https://chaldn.com/_mpimage/aspire-adult-diaper-belt-m-76-116-cm-8-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60805&q=best&v=1&m=400&webp=1","719","৳","798","Aspire Adult Diaper Belt M 76- 116 cm","8 pcs"
"https://chaldn.com/_mpimage/smartcare-adult-diaper-m-60-110-cm-22-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D174208&q=best&v=1&m=400&webp=1","1719","৳","1990","Smartcare Adult Diaper M (60-110 cm)","22 pcs"
"https://chaldn.com/_mpimage/aspire-premium-adult-wet-towel-80-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D94688&q=best&v=1&m=400&webp=1","","","400","Aspire Premium Adult Wet Towel","80 pcs"
"https://chaldn.com/_mpimage/glory-adult-diaper-large-110-150-cm-8-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D114885&q=best&v=1&m=400&m=400&webp=1","839","৳","889","Glory Adult Diaper Large (110-150 cm)","8 pcs"
"https://chaldn.com/_mpimage/smartcare-adult-diaper-m-60-110-cm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D133745&q=best&v=1&m=400&webp=1","799","৳","920","SmartCare Adult Diaper M 60-110 cm","10 pcs"
"https://chaldn.com/_mpimage/smartcare-disposable-underpads-xl-60-x-90-cm-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184050&q=best&v=1&m=400&webp=1","","","840","SmartCare Disposable Underpads XL (60 X 90 cm)","10 pcs"
"https://chaldn.com/_mpimage/thai-adult-pant-diaper-m-waist-size-27-45-inch-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136121&q=best&v=1&m=400&webp=1","679","৳","775","Thai Adult Pant Diaper M Waist Size 27-45 Inch","10 pcs"
"https://chaldn.com/_mpimage/thai-adult-pant-diaper-l-waist-size-30-55-inch-10-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136120&q=best&v=1&m=400&webp=1","739","৳","775","Thai Adult Pant Diaper L Waist Size 30-55 Inch","10 pcs"